Country Name;Region;GDP per capita;Populatiion;CO2 emission;Area
Congo, Dem. Rep.;Sub-Saharan Africa;405,5425009;78736153;4671,758;2344860
Congo, Rep.;Sub-Saharan Africa;1528,24472;5125821;3094,948;342000
Costa Rica;Latin America & Caribbean;11824,6381;4857274;7759,372;51100
Cote d'Ivoire;Sub-Saharan Africa;1534,973724;23695919;11045,004;322460
Croatia;Europe & Central Asia;12149,18958;4170600;16842,531;56590
Cuba;Latin America & Caribbean;;11475982;34836,5;109880
Curacao;Latin America & Caribbean;;159999;5881,868;444
Cyprus;Europe & Central Asia;23541,48825;1170125;6061,551;9250
Czech Republic;Europe & Central Asia;18483,71648;10561633;96475,103;78870
Denmark;Europe & Central Asia;53578,75657;5731118;33498,045;42922
Djibouti;Middle East & North Africa;;942333;722,399;23200
Dominica;Latin America & Caribbean;7906,721671;73543;135,679;750
Dominican Republic;Latin America & Caribbean;-6722,223536;10648791;21539,958;48670
Ecuador;Latin America & Caribbean;6018,526868;16385068;43919,659;256370
Egypt, Arab Rep.;Middle East & North Africa;3477,851743;95688681;201894,019;1001450
El Salvador;Latin America & Caribbean;4223,584579;6344722;6285,238;21040
Equatorial Guinea;Sub-Saharan Africa;8747,353473;1221490;5346,486;28050
Eritrea;Sub-Saharan Africa;;;696,73;117600
Estonia;Europe & Central Asia;17736,8027;1316481;19519,441;45230
Ethiopia;Sub-Saharan Africa;706,7574751;102403196;11598,721;1104300
Faroe Islands;Europe & Central Asia;;49117;597,721;1396
Fiji;East Asia & Pacific;5233,469423;898760;1169,773;18270
Finland;Europe & Central Asia;43401,22834;5495096;47300,633;338420
France;Europe & Central Asia;36857,11923;66896109;303275,568;549087
French Polynesia;East Asia & Pacific;;280208;803,073;4000
Gabon;Sub-Saharan Africa;7179,340661;1979786;5192,472;267670
Gambia, The;Sub-Saharan Africa;473,1904366;2038501;513,38;11300
Georgia;Europe & Central Asia;3865,785693;3719300;8987,817;69700
Germany;Europe & Central Asia;42161,31966;82667685;719883,438;357380
Ghana;Sub-Saharan Africa;1513,461034;28206728;14466,315;238540
Gibraltar;Europe & Central Asia;;34408;528,048;10
Greece;Europe & Central Asia;17890,57494;10746740;67318,786;131960
Greenland;Europe & Central Asia;;56186;506,046;410450
Grenada;Latin America & Caribbean;9841,76405;107317;242,022;340
Guam;East Asia & Pacific;35562,56753;162896;;540
Guatemala;Latin America & Caribbean;4146,744129;16582469;18327,666;108890
Guinea;Sub-Saharan Africa;661,5277734;12395924;2449,556;245860
Guinea-Bissau;Sub-Saharan Africa;641,5959647;1815698;271,358;36130
Guyana;Latin America & Caribbean;4529,139412;773303;2009,516;214970
Haiti;Latin America & Caribbean;739,5954363;10847334;2860,26;27750
Honduras;Latin America & Caribbean;2361,160205;9112867;9471,861;112490
Hong Kong SAR, China;East Asia & Pacific;43740,99288;7346700;46222,535;1105
Hungary;Europe & Central Asia;12820,0882;9817958;42086,159;93030
Iceland;Europe & Central Asia;59764,70538;334252;1983,847;103000
India;South Asia;1709,591808;1324171354;2238377,137;3287259
Indonesia;East Asia & Pacific;3570,294888;261115456;464176,194;1910931
Iran, Islamic Rep.;Middle East & North Africa;5219,109408;80277428;649480,705;1745150
Iraq;Middle East & North Africa;4609,600694;37202572;168443,645;435050
Ireland;Europe & Central Asia;64175,43824;4773095;34066,43;70280
Isle of Man;Europe & Central Asia;;83737;;570
Israel;Middle East & North Africa;37180,52711;8547100;64601,539;22070
Italy;Europe & Central Asia;30661,22181;60600590;320411,459;301340
Jamaica;Latin America & Caribbean;4878,575791;2881355;7422,008;10990
Japan;East Asia & Pacific;38900,56931;126994511;1214048,358;377962
Jordan;Middle East & North Africa;4087,937517;9455802;26450,071;89320
Kazakhstan;Europe & Central Asia;7714,693568;17797032;248314,572;2724902
Kenya;Sub-Saharan Africa;1455,359765;48461567;14286,632;580370
Kiribati;East Asia & Pacific;1587,057869;114395;62,339;810
Korea, Dem. People’s Rep.;East Asia & Pacific;;25368620;40527,684;120540
Korea, Rep.;East Asia & Pacific;27538,80613;51245707;587156,373;100280
Kosovo;Europe & Central Asia;3661,429847;1816200;;10887
Kuwait;Middle East & North Africa;27359,23033;4052584;95408,006;17820
Kyrgyz Republic;Europe & Central Asia;1077,603082;6082700;9607,54;199949
Lao PDR;East Asia & Pacific;2338,692157;6758353;1954,511;236800
Latvia;Europe & Central Asia;14071,02723;1960424;6974,634;64490
Lebanon;Middle East & North Africa;8257,294391;6006668;24070,188;10450
Lesotho;Sub-Saharan Africa;1039,704072;2203821;2467,891;30360
Liberia;Sub-Saharan Africa;455,3707414;4613823;935,085;111370
Libya;Middle East & North Africa;;6293253;56996,181;1759540
Liechtenstein;Europe & Central Asia;;37666;44,004;160
Lithuania;Europe & Central Asia;14900,7789;2872298;12838,167;65286
Luxembourg;Europe & Central Asia;100738,6842;582972;9658,878;2590
Macao SAR, China;East Asia & Pacific;74017,18471;612167;1283,45;30,3
Macedonia, FYR;Europe & Central Asia;5237,14767;2081206;7510,016;25710
Madagascar;Sub-Saharan Africa;401,7422696;24894551;3076,613;587295
Malawi;Sub-Saharan Africa;300,3076651;18091575;1276,116;118480
Malaysia;East Asia & Pacific;9508,23775;31187265;242821,406;330800
Maldives;South Asia;9875,278428;417492;1334,788;300
Mali;Sub-Saharan Africa;779,9448438;17994837;1411,795;1240190
Malta;Middle East & North Africa;25145,39315;436947;2346,88;320
Marshall Islands;East Asia & Pacific;3665,207477;53066;102,676;180
Mauritania;Sub-Saharan Africa;1101,901627;4301018;2709,913;1030700
Mauritius;Sub-Saharan Africa;9630,944028;1263473;4228,051;2040
Mexico;Latin America & Caribbean;8208,555984;127540423;480270,657;1964380
Micronesia, Fed. Sts.;East Asia & Pacific;3143,749107;104937;150,347;700
Moldova;Europe & Central Asia;1900,226088;3552000;4932,115;33850
Monaco;Europe & Central Asia;;38499;;2
Mongolia;East Asia & Pacific;3694,082552;3027398;20839,561;1564120
Montenegro;Europe & Central Asia;7028,934799;622781;2211,201;13810
Morocco;Middle East & North Africa;2892,775561;35276786;59863,775;446550
Mozambique;Sub-Saharan Africa;382,0693304;28829476;8426,766;799380
Myanmar;East Asia & Pacific;1195,515372;52885223;21631,633;-676590
Namibia;Sub-Saharan Africa;4414,978947;2479713;3755,008;824290
Nauru;East Asia & Pacific;7821,298918;13049;47,671;20
Nepal;South Asia;729,1222515;28982771;8030,73;147180
Netherlands;Europe & Central Asia;45637,88675;17018408;167303,208;41540
New Caledonia;East Asia & Pacific;;278000;4290,39;18580
New Zealand;East Asia & Pacific;39412,15943;4692700;34664,151;267710
Nicaragua;Latin America & Caribbean;2151,382047;6149928;4862,442;130370
Niger;Sub-Saharan Africa;;20672987;2126,86;1267000
Nigeria;Sub-Saharan Africa;2175,673442;185989640;96280,752;923770
Northern Mariana Islands;East Asia & Pacific;22572,37882;55023;;460
Norway;Europe & Central Asia;70868,1225;5232929;47626,996;385178
Oman;Middle East & North Africa;14982,35792;4424762;61169,227;309500
Pakistan;South Asia;1443,625016;193203476;166298,45;796100
Palau;East Asia & Pacific;14428,14026;21503;260,357;460
Panama;Latin America & Caribbean;13680,23601;4034119;8800,8;75420
Papua New Guinea;East Asia & Pacific;2500,091116;8084991;6318,241;462840
Paraguay;Latin America & Caribbean;4077,742073;6725308;5702,185;406752
Peru;Latin America & Caribbean;6049,232578;31773839;61744,946;1285220
Philippines;East Asia & Pacific;2951,071929;103320222;105653,604;300000
Poland;Europe & Central Asia;12414,09873;37948016;285739,974;312680
Portugal;Europe & Central Asia;19838,02723;10324611;45052,762;92225
Puerto Rico;Latin America & Caribbean;30790,10479;3411307;;8870
Qatar;Middle East & North Africa;59324,33877;2569804;107853,804;11610
Romania;Europe & Central Asia;9522,771041;19705301;70003,03;238390
Russian Federation;Europe & Central Asia;8748,368853;144342396;1705345,684;17098250
Rwanda;Sub-Saharan Africa;702,8356016;11917508;839,743;26340
Samoa;East Asia & Pacific;4030,013144;195125;198,018;2840
San Marino;Europe & Central Asia;47908,56141;33203;;60
Sao Tome and Principe;Sub-Saharan Africa;1714,680184;199910;113,677;960
Saudi Arabia;Middle East & North Africa;20028,64821;32275687;601046,969;2149690
Senegal;Sub-Saharan Africa;952,7683234;15411614;8855,805;196710
Serbia;Europe & Central Asia;5426,198279;7057412;37667,424;88360
Seychelles;Sub-Saharan Africa;15075,71944;94677;495,045;460
Sierra Leone;Sub-Saharan Africa;505,2045112;7396190;1309,119;72300
Singapore;East Asia & Pacific;52962,49157;5607283;56372,791;719
Sint Maarten (Dutch part);Latin America & Caribbean;;40005;733,4;34
Slovak Republic;Europe & Central Asia;16529,54097;5428704;30678,122;49035
Slovenia;Europe & Central Asia;21650,21276;2064845;12812,498;20270
Solomon Islands;East Asia & Pacific;2005,483643;599419;201,685;28900
Somalia;Sub-Saharan Africa;434,2088097;14317996;608,722;637660
South Africa;Sub-Saharan Africa;5274,546008;55908865;489771,854;1219090
South Sudan;Sub-Saharan Africa;;12230730;1496,136;644330
Spain;Europe & Central Asia;26616,4881;46443959;233976,602;505940
Sri Lanka;South Asia;3909,989066;21203000;18393,672;65610
St. Kitts and Nevis;Latin America & Caribbean;16596,82639;54821;231,021;260
St. Lucia;Latin America & Caribbean;9364,821525;178015;407,037;620
St. Martin (French part);Latin America & Caribbean;;31949;;54,4
St. Vincent and the Grenadines;Latin America & Caribbean;7006,596196;109643;209,019;390
Sudan;Sub-Saharan Africa;2415,038162;39578828;15364,73;1879357,5
Suriname;Latin America & Caribbean;5871,442003;558368;1991,181;163820
Swaziland;Sub-Saharan Africa;2770,199475;1343098;1202,776;17360
Sweden;Europe & Central Asia;51844,76126;9903122;43420,947;447420
Switzerland;Europe & Central Asia;79887,51824;8372098;35305,876;41290
Syrian Arab Republic;Middle East & North Africa;;18430453;30703,791;185180
Tajikistan;Europe & Central Asia;795,8438644;8734951;5188,805;141376
Tanzania;Sub-Saharan Africa;877,507612;55572201;11562,051;947300
Thailand;East Asia & Pacific;5910,620932;68863514;316212,744;513120
Timor-Leste;East Asia & Pacific;1405,387212;1268671;469,376;14870
Togo;Sub-Saharan Africa;578,4616936;7606374;2621,905;56790
Tonga;East Asia & Pacific;3748,641794;107122;121,011;750
Trinidad and Tobago;Latin America & Caribbean;16040,52424;1364962;46273,873;5130
Tunisia;Middle East & North Africa;3688,646375;11403248;28829,954;163610
Turkey;Europe & Central Asia;10862,6004;79512426;345981,45;785350
Turkmenistan;Europe & Central Asia;6389,334143;5662544;68422,553;488100
Turks and Caicos Islands;Latin America & Caribbean;;34900;205,352;950
Tuvalu;East Asia & Pacific;3083,615251;11097;11,001;30
Uganda;Sub-Saharan Africa;580,3835385;41487965;5229,142;241550
Ukraine;Europe & Central Asia;2185,728031;45004645;227298,995;603550
United Arab Emirates;Middle East & North Africa;37622,20746;9269612;211369,547;83600
United Kingdom;Europe & Central Asia;40367,03784;65637239;419820,162;243610
United States;North America;57638,15909;323127513;5254279,285;9831510
Uruguay;Latin America & Caribbean;15220,56603;3444006;6747,28;176220
Uzbekistan;Europe & Central Asia;2110,667754;31848200;105213,564;447400
Vanuatu;East Asia & Pacific;2860,566475;270402;154,014;12190
Venezuela, RB;Latin America & Caribbean;;31568179;185220,17;912050
Vietnam;East Asia & Pacific;2170,648054;92701100;166910,839;330967
Virgin Islands (U.S.);Latin America & Caribbean;;102951;;350
West Bank and Gaza;Middle East & North Africa;2943,404534;4551566;;6020
Yemen, Rep.;Middle East & North Africa;990,334774;27584213;22698,73;527970
Zambia;Sub-Saharan Africa;1269,573537;16591390;4503,076;752610
Zimbabwe;Sub-Saharan Africa;1029,076649;16150362;12020,426;390760
